Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
269,RBL BANK LIMITED,141.37,2556.21,357.13,4111.77,,
270,RESERVE BANK EMPLOYEES COOPERATIVE BANK LIMITED,0.01,0.12,0.00,0.16,,
271,S S L S A KURUNDWAD URBAN BANK LTD,0.52,7.41,0.23,6.27,,
272,SADALGA URBAN SOUHARDA SAHAKARI BANK NIYAMIT,0.09,1.21,0.06,1.55,,
273,SADHANA SAHAKARI BANK LTD,3.47,48.60,1.79,40.13,,
274,SADHANA SAHAKARI BANK LTD YES BANK,0.13,2.75,0.11,4.07,,
275,SAIBABA NAGARI SAHAKARI BANK MARYADIT SAILU,1.73,33.29,1.24,28.88,,
276,SALEM DISTRICT CENTRAL COOPERATIVE BANK,1.12,15.52,0.56,15.25,,
277,SAMARTH SAHAKARI BANK LTD. SOLAPUR,7.33,95.01,4.04,80.81,,
278,SAMARTH SAHAKARI BANK MARYADIT JALNA,0.82,15.69,0.53,12.08,,
279,SAMATA CO OPERATIVE DEVELOPMENT BANK LTD,0.31,4.12,0.20,3.32,,
280,SAMATA SAHAKARI BANK LTD,0.74,11.86,0.40,10.56,,
281,SAMPADA SAHAKARI BANK LTD PUNE,0.87,11.16,0.46,9.21,,
282,SAMRUDDHI COOPERATIVE BANK LTD NAGPUR,0.11,1.61,0.05,1.51,,
283,SANDUR PATTANA SOUHARDA SAHAKARI BANK NI,0.32,6.17,0.24,5.62,,
284,SANMITRA MAHILA NAGARI SAHAKARI BANK MARYADIT CHANDRAPUR,0.06,1.90,0.03,1.09,,
285,SANT SOPANKAKA SAHAKARI BANK LTD,2.96,42.11,1.57,39.78,,
286,SAPTAGIRI GRAMEENA BANK,5.24,84.26,2.46,87.96,,
287,SARAKARI NAUKARARA SAHAKARI BANK NIYAMAT VIJAYAPUR,0.12,2.94,0.07,3.36,,
288,SARASPUR NAGARIK CO-OP BANK LTD,2.07,39.20,0.86,32.69,,
289,SARASWAT CO-OPERATIVE BANK,222.49,2913.74,73.62,2188.43,,
290,SARDAR SINGH NAGRIK SAHKARI BANK MARYADIT,0.04,1.12,0.04,1.21,,
291,SARDAR VALLABHBHAI SAHAKARI BANK LTD,0.14,2.62,0.20,8.40,,
292,SARVA HARYANA GRAMIN BANK,173.80,1882.44,80.18,1577.11,,
293,SARVODAYA COMMERCIAL CO-OP. BANK LTD.,1.74,31.78,0.94,34.50,,
294,SAURASHTRA GRAMIN BANK-IMPS,23.55,354.34,10.21,286.30,,
295,SBI CARDS AND PAYMENT SERVICES LIMITED,145.55,1217.23,0.50,5.88,,
296,SBM BANK INDIA LTD.,19.64,175.25,8.55,184.17,,
297,SBPP CO-OPERATIVE BANK LIMITED,1.25,21.53,0.72,16.40,,
298,SHARAD SAHAKARI BANK LTD,2.38,30.83,1.25,38.70,,
299,SHIVALIK SMALL FINANCE BANK LIMITED,9.98,150.05,5.60,150.54,,
